"Abies_alba";"Aconitum_firmum";"Adenostyles_alliariae";"Agrostis_rupestris";"Anemone_narcissifolia";"Anthoxanthum_alpinum";"Arabis_alpina";"Aster_bellidiastrum";"Athyrium_distentifolium";"Avenula_versicolor";"Bartsia_alpina";"Betula_pubescens_subsp._carpatica";"Calamagrostis_arundinacea";"Calamagrostis_villosa";"Calluna_vulgaris";"Caltha_palustris";"Campanula_alpina";"Campanula_cochlearifolia";"Campanula_rotundifolia_subsp._polymorpha";"Cardamine_amara";"Cardaminopsis_arenosa_subsp._borbasii";"Cardaminopsis_neglecta";"Carex_atrata";"Carex_canescens";"Carex_fuliginosa";"Carex_lachenalii";"Carex_nigra";"Carex_sempervirens";"Cerastium_cerastoides";"Cerastium_fontanum";"Cerastium_tatrae";"Cerastium_uniflorum";"Chaerophyllum_hirsutum";"Chrysosplenium_alternifolium";"Cicerbita_alpina";"Coeloglossum_viride";"Crepis_conyzifolia";"Cystopteris_fragilis";"Deschampsia_cespitosa";"Deschampsia_flexuosa";"Diphasiastrum_alpinum";"Doronicum_austriacum";"Doronicum_clusii";"Dryopteris_carthusiana";"Dryopteris_dilatata";"Dryopteris_filix_mas";"Empetrum_nigrum_subsp._hermaphroditum";"Epilobium_anagallidifolium";"Epilobium_angustifolium";"Eriophorum_vaginatum";"Euphrasia_minima_subsp._tatrae";"Festuca_airoides";"Festuca_picta";"Festuca_versicolor";"Galeopsis_bifida";"Galium_anisophyllon";"Gentiana_asclepiadea";"Gentiana_frigida";"Gentiana_punctata";"Geranium_sylvaticum";"Geum_montanum";"Geum_reptans";"Gymnocarpium_dryopteris";"Hedysarum_hedysaroides";"Heracleum_sphondylium";"Hieracium_alpicola";"Hieracium_alpinum";"Hieracium_bifidum";"Hieracium_caesium";"Hieracium_murorum";"Hieracium_nigrescens";"Homogyne_alpina";"Huperzia_selago";"Hypericum_maculatum";"Hypochoeris_uniflora";"Juncus_filiformis";"Juncus_trifidus";"Juniperus_communis_subsp._alpina";"Leontodon_hispidus";"Leontodon_montanus_subsp._pseudotaraxaci";"Leucanthemopsis_alpina";"Leucanthemum_waldsteinii";"Ligusticum_mutellina";"Ligusticum_mutellinoides";"Linum_perenne_subsp._extraaxillare";"Lloydia_serotina";"Luzula_alpinopilosa";"Luzula_luzuloides";"Luzula_multiflora";"Luzula_spicata";"Luzula_sudetica";"Luzula_sylvatica";"Melampyrum_sylvaticum";"Minuartia_sedoides";"Myosotis_alpestris";"Nardus_stricta";"Omalotheca_norvegica";"Omalotheca_supina";"Oreochloa_disticha";"Oxalis_acetosella";"Oxyria_digyna";"Parnassia_palustris";"Pedicularis_hacquetii";"Pedicularis_oederi";"Pedicularis_verticillata";"Phegopteris_connectilis";"Phleum_alpinum";"Phyteuma_orbiculare";"Phyteuma_spicatum";"Picea_abies";"Pinus_cembra";"Pinus_mugo";"Poa_alpina";"Poa_chaixii";"Poa_granitica";"Poa_laxa";"Polygonatum_verticillatum";"Polygonum_bistorta";"Polygonum_viviparum";"Polystichum_lonchitis";"Potentilla_aurea";"Prenanthes_purpurea";"Primula_elatior";"Primula_minima";"Pseudorchis_albida";"Pulsatilla_alba";"Pyrola_carpatica";"Ranunculus_alpestris";"Ranunculus_glacialis";"Ranunculus_platanifolius";"Ranunculus_pseudomontanus";"Rhinanthus_alpinus";"Rhodiola_rosea";"Rubus_idaeus";"Rumex_alpestris";"Rumex_scutatus";"Salix_alpina";"Salix_herbacea";"Salix_reticulata";"Salix_retusa";"Salix_silesiaca";"Saxifraga_androsacea";"Saxifraga_bryoides";"Saxifraga_carpatica";"Saxifraga_exarata_subsp._moschata";"Saxifraga_paniculata";"Saxifraga_retusa";"Saxifraga_wahlenbergii";"Sedum_alpestre";"Sedum_atratum";"Sedum_telephium_subsp._fabaria";"Sempervivum_montanum";"Senecio_incanus_subsp._carniolicus";"Senecio_nemorensis_subsp._nemorensis";"Senecio_subalpinus";"Silene_acaulis";"Silene_dioica";"Soldanella_carpatica";"Solidago_virgaurea_subsp._minuta";"Sorbus_aucuparia_subsp._glabrata";"Stellaria_nemorum";"Streptopus_amplexifolius";"Swertia_perennis";"Taraxacum_officinale";"Taraxacum_Sect._Alpina";"Thalictrum_aquilegiifolium";"Thymus_alpestris";"Trisetum_fuscum";"Vaccinium_myrtillus";"Vaccinium_uliginosum_subsp._microphyllum";"Vaccinium_vitis_idaea";"Valeriana_tripteris";"Veratrum_album";"Veratrum_lobelianum";"Veronica_alpina";"Veronica_fruticans";"Viola_biflora"
"11";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;4;0;0;0;0;0;0
"12";0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;3;0;3;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;7;0;0;0;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0;3;0;0;3;0;0;0
"13";1;0;0;3;0;0;0;0;0;2;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;4;0;0;0;0;0;0
"14";0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;3;2;0;0;0;4;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;7;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;4;0;0;0;0;0;0
"15";0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;0;0;0;0;0
"16";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;3;3;0;0;0;0;0;0
"17";0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;0;0;0;0;0;0
"18";0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;7;0;0;0;0;0;0
"19";0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;7;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0;7;0;0;0;0;0;0
"20";0;0;0;7;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;3;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;7;4;0;0;0;0;0;0
"21";0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;3;0;0;1;0;0;0
"22";0;0;0;3;0;0;0;0;0;2;0;0;0;2;0;0;3;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;3;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0
"23";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;7;0;0;0;0;0;0
"24";0;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;7;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;0;0;0;0;0
"25";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;4;0;0;0;0;0;0
"26";0;0;0;7;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;4;0;0;0;0;0;0
